,symbol,pct_chg,rise,std_deviation_1y,pct_chg_1y,std_deviation_6m,pct_chg_6m,std_deviation_5m,pct_chg_5m,std_deviation_4m,pct_chg_4m,std_deviation_3m,pct_chg_3m,std_deviation_2m,pct_chg_2m,std_deviation_1m,pct_chg_1m,std_deviation_1w,pct_chg_1w
3144,601985,0.363,1,1.425513515977661,-0.1419990062713623,1.3926112378475384,-19.896999329328537,1.3995542680316737,-11.436999201774597,1.4162146770274007,-10.476999163627625,1.4275835616412564,2.293000891804695,0.994593026456052,2.22990021109581,1.125272242998963,2.8941002041101456,0.4446257784924865,2.211600035429001
3145,601988,0.0,0,0.9843210911379399,9.283499360084534,1.0146200694303185,-3.063300684094429,1.014781713140408,5.53669935464859,1.0123304378452485,4.896699279546738,1.0318140983533042,8.256699204444885,0.6045735784774635,-2.0988000333309174,0.5674253260600073,2.5458999276161194,0.43682391638119616,2.8060999512672424
3146,601989,0.4926,1,2.3161328942183,44.726200461387634,2.121068134762016,17.3566005975008,2.1182262056917054,18.34660042822361,2.1623957480691995,23.236600533127785,2.205711228461449,39.6266003549099,2.2070579160275114,1.21069997549057,1.537331425248046,3.080600455403328,1.0684802524882548,0.1928001046180725
3147,601990,6.0255,1,3.6350252948720794,32.03130064159632,4.663946349919255,132.37260072678328,4.663946349919255,132.37260072678328,4.663946349919255,132.37260072678328,4.663946349919255,132.37260072678328,2.193593770037918,6.240099519491196,2.639160681882175,13.59399975836277,2.518244642379325,14.934999883174896
3148,601991,0.7194,1,1.3760432013283734,-8.86940023303032,1.3903334309895674,-27.106800228357315,1.3912733261411725,-13.75680011510849,1.4124927163084349,-10.956800282001495,1.4226580421829484,-5.746800065040588,0.8527254194387176,-4.9259999096393585,0.9106456694267494,1.1220000088214874,0.7426287174024266,2.200400024652481
3149,601992,1.1364,1,2.075286471110705,3.1997006833553314,2.1436828203194254,-32.48189815878868,2.150815855124965,-19.801898151636124,2.1503969471315885,-8.811898455023766,2.174499078589045,5.408101201057434,1.2932656924513042,-2.153500020503998,1.0496500577990973,7.802699893712997,0.7808985936983784,4.3889000415802
3150,601996,2.0134,1,2.028287160698488,-3.636500597000122,1.9528302617031883,-29.755300611257553,1.9640424474167255,-25.915300592780113,1.9932454133628663,-23.245300576090813,2.018028483693275,-22.275300353765488,1.4416880165785277,-0.5477998554706573,1.367985323151174,3.61149999499321,1.3197267273004034,3.119299978017807
3151,601997,0.8159,1,1.760324740552906,8.631599515676498,1.6228466687562233,-12.993500970304012,1.653887273735618,-8.683500953018665,1.6590514585776712,-3.343500703573227,1.702576553327673,1.4764994233846664,1.1516050492190095,-2.2372004464268684,1.1103404526470302,4.054899796843529,0.7694525667158432,4.565299905836582
3152,601998,0.5199,1,1.4118418039002338,5.290299445390701,1.3990034974199475,-3.4230005741119385,1.4066166047919912,2.5669995844364166,1.3941341884293799,-2.773000329732895,1.4099657751384502,3.9169997572898865,0.847783789392945,1.3656998127698898,0.6995932107315446,2.1540999561548233,0.5741893322112321,3.1875999867916107
3153,601999,2.1922,1,2.6127718992766904,21.033800393342972,2.465183928394532,-3.071298658847809,2.4580222559499982,-3.9812986105680466,2.5032755320496936,-3.0812986493110657,2.565799544176431,7.658701181411743,1.528969245719441,2.0620996057987213,1.2469059083505756,9.54569984972477,1.1528168165076282,3.47529998421669
